alpha,scaling_type,entropy,layer,head,head_name
0.5,Q,4.924997329711914,20,19,high_gain
0.75,Q,3.9259746074676514,20,19,high_gain
1.0,Q,2.214287519454956,20,19,high_gain
1.25,Q,0.8851621150970459,20,19,high_gain
1.5,Q,0.300349622964859,20,19,high_gain
0.5,K,2.214287519454956,20,19,high_gain
0.75,K,2.214287519454956,20,19,high_gain
1.0,K,2.214287519454956,20,19,high_gain
1.25,K,2.214287519454956,20,19,high_gain
1.5,K,2.214287519454956,20,19,high_gain
0.5,Q,5.120559215545654,14,8,medium_gain
0.75,Q,4.9373273849487305,14,8,medium_gain
1.0,Q,4.6762495040893555,14,8,medium_gain
1.25,Q,4.343321800231934,14,8,medium_gain
1.5,Q,3.9587903022766113,14,8,medium_gain
0.5,K,4.6762495040893555,14,8,medium_gain
0.75,K,4.6762495040893555,14,8,medium_gain
1.0,K,4.6762495040893555,14,8,medium_gain
1.25,K,4.6762495040893555,14,8,medium_gain
1.5,K,4.6762495040893555,14,8,medium_gain
0.5,Q,5.20781135559082,0,23,low_gain
0.75,Q,5.145387172698975,0,23,low_gain
1.0,Q,5.068547248840332,0,23,low_gain
1.25,Q,4.981805324554443,0,23,low_gain
1.5,Q,4.887966156005859,0,23,low_gain
0.5,K,5.068547248840332,0,23,low_gain
0.75,K,5.068547248840332,0,23,low_gain
1.0,K,5.068547248840332,0,23,low_gain
1.25,K,5.068547248840332,0,23,low_gain
1.5,K,5.068547248840332,0,23,low_gain
